# source: rtspt-impaired-loss005.csv (phase-0 diagnostics capture, 2026-08-10)
# impairment: RTSP-TCP, +300 ms RTT, 0.05% loss
# analysed_duration_s: 165.068
# baseline_buf_ms: 460
start_s,gap_ms
18.451,762.0
29.455,557.4
32.382,493.6
38.338,558.7
39.156,526.8
39.371,694.3
40.604,560.0
42.605,510.4
43.606,726.5
44.754,633.6
45.821,943.8
47.267,482.8
48.035,1649.7
49.606,562.1
50.526,927.0
51.905,887.6
53.309,701.8
54.410,814.3
55.677,735.3
56.012,490.9
56.476,580.1
56.913,990.9
58.396,906.9
59.726,801.6
61.010,610.1
61.226,490.6
61.800,1127.2
62.592,489.7
62.721,772.6
63.373,501.2
64.383,619.6
65.485,587.7
94.357,593.6
98.369,861.2
99.717,567.4
100.652,760.1
101.920,958.2
103.119,944.0
103.654,774.1
104.035,562.9
104.204,598.5
104.719,628.1
105.737,692.2
106.957,827.6
108.222,675.3
109.308,679.1
112.417,493.5
134.414,493.4
152.364,713.8
