# source: ts-impaired-loss005.csv (phase-0 diagnostics capture, 2026-08-10)
# impairment: HTTP-TS, +300 ms RTT, 0.05% loss
# analysed_duration_s: 225.382
# baseline_buf_ms: 460
start_s,gap_ms
0.000,792.6
0.520,601.0
0.720,769.4
1.307,2140.2
3.109,494.9
3.209,497.4
3.593,1766.6
4.998,887.9
5.482,575.8
5.732,492.8
36.400,692.0
42.334,736.6
46.640,538.8
46.907,728.3
47.826,558.6
48.809,728.7
50.016,612.4
51.009,628.0
52.029,496.1
53.027,593.6
54.262,508.2
54.651,488.9
70.931,480.1
71.216,548.9
75.382,726.2
78.466,516.5
79.382,666.9
80.466,592.7
82.520,687.7
83.619,578.2
84.614,1170.5
86.271,914.2
87.383,1689.2
88.686,768.3
89.078,742.7
89.763,792.1
90.195,528.0
91.028,992.6
92.515,858.0
93.801,677.3
122.334,678.4
123.451,775.6
124.495,709.1
124.842,1214.2
125.656,581.4
126.343,1628.8
127.612,491.3
128.345,518.0
128.487,1499.3
130.346,1391.5
132.095,1627.9
134.099,1307.1
135.446,1108.0
136.160,2175.5
137.927,644.2
138.213,1107.2
139.579,944.2
140.996,1224.7
142.228,626.2
142.745,1259.4
143.685,770.6
144.544,492.8
144.660,2513.3
146.878,1042.9
147.535,490.9
147.665,2291.9
149.897,760.6
150.298,492.4
150.399,1925.1
152.700,2559.5
154.977,715.5
155.296,948.6
155.935,2423.3
157.963,526.9
158.282,1009.9
159.115,2142.6
161.317,2558.2
163.733,590.1
163.947,495.9
193.547,510.3
193.845,609.5
194.313,891.6
195.620,703.7
196.829,612.2
197.301,525.0
197.813,1576.1
199.863,643.8
200.965,628.8
201.300,582.8
201.982,1119.3
203.506,697.5
204.548,495.3
204.701,991.9
206.100,978.8
207.333,1345.7
209.103,709.0
210.295,649.4
211.319,1112.5
212.923,621.4
213.926,992.7
215.307,729.4
216.025,580.3
216.444,810.6
217.778,678.4
218.494,712.0
219.078,778.5
220.312,1011.9
221.564,508.6
221.761,729.7
222.128,517.9
222.251,614.7
222.482,665.9
222.736,496.5
223.153,746.1
224.273,827.2
