# source: ts-impaired.csv (phase-0 diagnostics capture, 2026-08-10)
# impairment: HTTP-TS, +300 ms RTT, 0.5% loss (throughput regime)
# analysed_duration_s: 203.526
# baseline_buf_ms: 460
start_s,gap_ms
0.000,6474.0
6.685,776.8
7.269,6546.2
13.578,1087.4
14.326,1495.6
15.470,726.8
15.780,1209.7
16.593,4516.1
20.882,527.0
21.022,887.3
21.547,692.9
22.015,3319.2
25.073,493.7
25.208,1328.4
26.240,4495.3
30.576,1250.5
31.459,742.3
31.861,4459.7
36.063,615.2
36.283,957.2
36.878,964.5
37.467,717.0
37.818,4796.8
42.425,499.6
42.656,6854.3
49.143,2044.5
51.011,519.9
51.129,1230.8
52.133,3513.2
55.241,530.7
55.386,650.5
55.677,8934.2
64.259,1253.5
65.153,574.5
66.337,933.2
66.885,6073.3
72.774,1410.0
73.781,1426.7
74.815,7324.9
81.936,2291.3
83.869,3151.3
86.625,626.4
86.858,843.3
87.308,578.3
87.692,1492.9
89.162,618.9
89.677,1574.9
91.161,1025.2
92.219,2121.1
93.929,553.3
94.113,1114.5
94.820,526.3
95.067,3799.7
98.472,1509.7
99.578,921.0
100.231,3947.6
104.039,562.3
104.213,1155.1
105.178,4396.2
109.180,6484.4
115.520,525.3
116.869,2519.6
119.094,711.0
119.490,1031.1
120.200,1072.7
120.873,3068.9
123.685,1323.9
124.658,1083.3
125.351,3007.3
128.261,4607.5
132.708,6257.7
138.562,593.3
138.813,1141.7
139.596,1428.1
140.638,484.4
140.764,5514.9
146.054,590.6
146.238,1281.0
147.121,5679.7
152.426,1775.6
153.809,6481.5
160.047,1375.1
161.014,810.0
161.463,661.8
161.729,1458.8
162.783,6081.4
168.680,3175.3
171.463,4962.8
176.033,4993.5
181.219,558.1
182.002,1208.2
183.018,1720.0
184.367,4077.3
188.135,1893.4
189.637,1541.6
190.833,11748.1
202.472,987.4
