# source: ts-impaired-lagonly.csv (phase-0 diagnostics capture, 2026-08-10)
# impairment: HTTP-TS, +600 ms RTT, 0% loss
# analysed_duration_s: 247.423
# baseline_buf_ms: 460
start_s,gap_ms
0.268,1697.4
2.437,841.2
4.726,492.4
11.853,552.2
19.653,563.8
40.228,685.7
53.245,492.9
57.209,481.3
59.395,577.0
62.760,495.9
63.198,691.9
65.363,504.9
66.529,645.9
79.397,560.1
85.255,620.2
87.314,518.7
96.614,525.3
97.164,625.2
102.190,486.5
108.128,661.1
122.177,512.4
123.211,494.6
127.095,528.6
128.179,494.7
129.130,534.6
130.148,535.3
131.115,566.4
132.115,508.5
134.100,557.0
139.130,593.4
143.114,675.7
145.212,694.3
155.465,487.8
162.192,494.0
166.177,498.9
168.195,498.7
171.165,490.4
173.145,495.2
175.133,503.1
176.165,527.1
177.145,483.6
178.183,516.5
179.130,512.5
180.482,486.2
183.132,511.5
185.100,521.0
186.568,611.6
187.283,560.1
190.178,517.4
193.108,522.8
195.168,495.3
196.171,525.6
198.103,510.5
199.154,551.5
201.121,595.2
204.126,520.5
207.106,758.0
209.319,493.5
220.256,592.0
238.162,526.1
240.184,556.7
242.150,546.8
244.443,554.1
245.094,627.4
246.479,564.4
